Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
ELLETTSVILLE PD,E2003492,MONROE,RICHLAND,ELLETTSVILLE,5/24/20,10:01 PM,1,0,1,0,0,,,,SR46W,,,SR46W,FOREST PARK,,,,Y,,100,W,39.21215347,-86.58752598,STATE ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,COLLISION WITH OBJECT IN ROAD,FORESTPARKDRSR46W,1,NONE
MONROE SD,M14A1271,MONROE,BEAN BLOSSOM,STINESVILLE,4/23/14,6:30 AM,1,0,1,0,0,9210,WEST WOLF MOUNTAIN,RD,,,,WEST WOLF MOUNTAIN RD,,,,,N,PRIVATE,,,39.31304932,-86.666893,OTHER,,N,N,RURAL,N,N,N,,DAWN/DUSK,CLEAR,WET,NONE,NO JUNCTION INVOLVED,NON-ROADWAY CRASH,OTHER - EXPLAIN IN NARRATIVE,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WESTWOLFMOUNTAINRD,1,NONE
BLOOMINGTON PD,22013055,MONROE,BLOOMINGTON,BLOOMINGTON,2/20/13,9:50 AM,1,0,1,0,0,,W 1ST,ST,,,,W 1ST ST,S ROGERS,,,,Y,OTHER,,,39.17664,-86.538496,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,SROGERSSTW1STST,1,STOP SIGN
BLOOMINGTON PD,41913002,MONROE,BLOOMINGTON,BLOOMINGTON,4/19/13,12:01 AM,1,0,1,0,0,,WALNUT,ST,,,,WALNUT ST,7TH,,,,Y,OTHER,,,39.1685497,-86.53359018,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT/RIGHT TURN,7THSTWALNUTST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,11314121,MONROE,PERRY,BLOOMINGTON,1/13/14,6:25 AM,1,0,1,0,0,,WASHINGTON,ST,,,,WASHINGTON ST,4TH,,,,Y,OTHER,,,39.16557983,-86.53235033,LOCAL/CITY ROAD,,,Y,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,4THSTWASHINGTONST,1,STOP SIGN
BLOOMINGTON PD,91214081,MONROE,BLOOMINGTON,BLOOMINGTON,9/12/14,6:44 AM,1,0,1,0,0,520,S WALNUT,ST,,,,S WALNUT ST,,,,,Y,PRIVATE,,,39.1707889,-86.53353274,OTHER,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,SWALNUTST,1,STOP SIGN
BLOOMINGTON PD,91914074,MONROE,BLOOMINGTON,BLOOMINGTON,9/19/14,6:30 AM,1,0,1,0,0,,WASHINGTON,ST,,,,WASHINGTON ST,3RD,,,,Y,OTHER,,,39.16464,-86.5324,LOCAL/CITY ROAD,Y,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,3RDSTWASHINGTONST,0,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1407425,MONROE,PERRY,BLOOMINGTON,9/24/14,12:32 PM,1,0,1,0,0,,HENDERSON,ST,,,,HENDERSON ST,1ST,,,,Y,OTHER,,,39.159344,-86.52712,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,UNDER $1001,RIGHT ANGLE,1STSTHENDERSONST,1,STOP SIGN
BLOOMINGTON PD,B1409623,MONROE,BLOOMINGTON,BLOOMINGTON,10/9/14,9:29 AM,1,0,2,0,0,,N COLLEGE,AVE,,,,N COLLEGE AVE,7TH,,,,Y,OTHER,60,S,39.168656,-86.534784,LOCAL/CITY ROAD,,N,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,7THSTNCOLLEGEAVE,2,NONE
BLOOMINGTON PD,B1411605,MONROE,BLOOMINGTON,BLOOMINGTON,10/22/14,6:55 PM,2,0,1,0,0,,WEST 3RD,,,,,WEST 3RD,SOUTH FRANKLIN,,,,Y,,100,W,39.164688,-86.5712,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,SAME DIRECTION SIDESWIPE,SOUTHFRANKLINDRWEST3RDST,0,NONE
BLOOMINGTON PD,B1412915,MONROE,BLOOMINGTON,BLOOMINGTON,10/31/14,9:41 AM,1,0,1,0,0,,WALNUT,,,,,WALNUT,1ST,,,,Y,,,,39.17784,-86.533408,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT/RIGHT TURN,FIRSTSTWALNUTST,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,143575,MONROE,BLOOMINGTON,BLOOMINGTON,12/16/14,7:28 AM,1,0,1,0,0,,JORDAN,,,,,JORDAN,7TH,,,,Y,,,,39.168944,-86.516016,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,VIEW OBSTRUCTED,UNDER $1001,RIGHT ANGLE,7THSTJORDANAVE,1,STOP SIGN
BLOOMINGTON PD,B1420294,MONROE,BLOOMINGTON,BLOOMINGTON,12/28/14,11:30 PM,1,0,1,0,0,2700,NORTH WALNUT,,,,,NORTH WALNUT,,,,,Y,,,,39.19396833,-86.53335147,LOCAL/CITY ROAD,,Y,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,NORTHWALNUTST,1,NONE
BLOOMINGTON PD,B1503474,MONROE,BLOOMINGTON,BLOOMINGTON,1/26/15,7:30 AM,1,0,1,0,0,,E 3RD,,,,,E 3RD,S PARKRIDGE,,,,Y,,,,39.16421995,-86.4763002,LOCAL/CITY ROAD,Y,N,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,SAME DIRECTION SIDESWIPE,E3RDSTSPARKRIDGERD,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1505653,MONROE,BLOOMINGTON,BLOOMINGTON,2/10/15,3:50 PM,1,0,1,0,0,,DUNN,,,,,DUNN,KIRKWOOD,,,,Y,,,,39.16664,-86.528192,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,UNDER $1001,LEFT TURN,DUNNSTKIRKWOODAVE,1,STOP SIGN
BLOOMINGTON PD,B1509737,MONROE,BLOOMINGTON,BLOOMINGTON,3/10/15,8:30 PM,2,0,1,0,0,1622,W 7TH,,,,,W 7TH,,,,,Y,,,,39.168848,-86.55378253,OTHER,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,GRAVEL,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,$1001 TO $2500,RAN OFF ROAD,W7THST,1,NONE
BLOOMINGTON PD,B1515023,MONROE,PERRY,BLOOMINGTON,4/16/15,8:57 AM,1,0,1,0,0,,KENNEDY,,,,,KENNEDY,KENNEDY,,,,Y,,90,W,39.123744,-86.52810935,LOCAL/CITY ROAD,,Y,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,KENNEDYCTKENNEDYDR,1,NONE
BLOOMINGTON PD,B1525547,MONROE,PERRY,BLOOMINGTON,6/22/15,9:00 PM,1,0,1,0,0,,E 3RD,ST,,,,E 3RD,S HILLSDALE,,,,Y,,,,39.164272,-86.502416,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER TURNING,UNDER $1001,RIGHT TURN,E3RDSTSHILLSDALEDR,1,STOP SIGN
BLOOMINGTON PD,B1536214,MONROE,BLOOMINGTON,BLOOMINGTON,8/28/15,12:17 PM,1,1,1,0,0,413,HENDERSON,ST,,,,S HENDERSON,,,,,Y,,,,0,0,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,TOW HITCH FAILURE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,SHENDERSONST,1,NONE
INDIANA UNIV BLOOMINGTON PD,152995,MONROE,BLOOMINGTON,BLOOMINGTON,11/4/15,3:42 PM,1,0,1,0,0,,E 17TH,ST,,,,E 17TH,FEE,,,,Y,,100,W,39.178928,-86.518992,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,E17THSTFEELN,1,OTHER
INDIANA UNIV BLOOMINGTON PD,153383,MONROE,BLOOMINGTON,BLOOMINGTON,12/12/15,1:30 AM,1,0,1,0,0,,E 3RD,ST,,,,E 3RD,S WOODLAWN,,,,Y,,300,W,39.164352,-86.522592,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$2501 TO $5000,COLLISION WITH OBJECT IN ROAD,E3RDSTSWOODLAWNAVE,1,LANE CONTROL
BLOOMINGTON PD,B1627946,MONROE,BLOOMINGTON,BLOOMINGTON,7/21/16,4:07 AM,1,1,0,1,0,,N WALNUT,ST,,,,N WALNUT,OLD SR 37,,,,Y,,308,S,39.20704,-86.534704,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,NWALNUTSTOLDSR37RD,1,LANE CONTROL
BLOOMINGTON PD,B1630777,MONROE,VAN BUREN,BLOOMINGTON,8/9/16,10:43 AM,1,0,2,0,0,,TAPP,RD,,,,TAPP,LEONARD SPRINGS,,,,Y,,,,39.13704,-86.582512,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,LEONARDSPRINGSRDTAPPRD,2,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1640822,MONROE,PERRY,BLOOMINGTON,10/11/16,5:38 PM,1,0,1,0,0,528,S COLLEGE,AVE,,,,S COLLEGE,,,,,Y,,,,39.16115717,-86.53485253,OTHER,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,SCOLLEGEAVE,1,NONE
BLOOMINGTON PD,B1641069,MONROE,PERRY,BLOOMINGTON,10/13/16,1:45 PM,1,0,1,0,0,215,S WESTPLEX,AVE,,,,S WESTPLEX,,,,,Y,,,,39.109248,-86.53336194,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,BACKING CRASH,SWESTPLEXAVE,1,NONE
BLOOMINGTON PD,B1642759,MONROE,BLOOMINGTON,BLOOMINGTON,10/24/16,8:56 PM,1,0,1,0,0,,ROGERS,ST,,,,ROGERS,6TH,,,,Y,,,,39.16768,-86.538592,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,6THSTROGERSST,1,STOP SIGN
BLOOMINGTON PD,B1643965,MONROE,BLOOMINGTON,BLOOMINGTON,11/1/16,4:39 AM,2,0,1,0,0,,,,SR37S,,,SR37S,W 3RD,,,,Y,,400,N,39.16584824,-86.57304798,STATE ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,RAMP,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,SR37SW3RDST,1,NONE
BLOOMINGTON PD,B1644229,MONROE,BLOOMINGTON,BLOOMINGTON,11/2/16,7:20 PM,1,0,1,0,0,,N ROGERS,ST,,,,N ROGERS,W 10TH,,,,Y,,,,39.17140022,-86.53859987,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,TRAIL CROSSINGS,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,NROGERSSTW10THST,1,NONE
INDIANA UNIV BLOOMINGTON PD,163058,MONROE,BLOOMINGTON,BLOOMINGTON,12/6/16,5:55 PM,1,0,1,0,0,,10TH,ST,,,,10TH,FEE,,,,Y,,373,W,39.17159354,-86.52000406,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,10THSTFEELN,1,OTHER REGULATORY SIGN/MARKING
INDIANA UNIV BLOOMINGTON PD,170463,MONROE,BLOOMINGTON,BLOOMINGTON,2/20/17,7:05 PM,1,0,1,0,0,,JORDAN,AVE,,,,JORDAN,JONES,,,,Y,,100,N,39.17597478,-86.51640996,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,COLLISION WITH OBJECT IN ROAD,JONESAVEJORDANAVE,1,OTHER
ISP BLOOMINGTON 33,2.017E+11,MONROE,PERRY,BLOOMINGTON,9/4/17,10:02 PM,1,0,1,0,0,,,,SR37,,,SR37,TAPP,,,,Y,,,,0,0,STATE ROAD,,N,N,URBAN,N,N,Y,WORK ON SHOULDER,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,RIGHT ANGLE,SR37TAPPRD,1,LANE CONTROL
BLOOMINGTON PD,B1738198,MONROE,PERRY,BLOOMINGTON,9/17/17,1:54 PM,1,0,1,0,0,565,S PARK RIDGE,RD,,,,S PARK RIDGE,,,,,Y,,,,39.16158324,-86.47636046,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,BACKING CRASH,SPARKRIDGERD,1,NONE
BLOOMINGTON PD,B1748105,MONROE,PERRY,BLOOMINGTON,11/24/17,3:35 PM,2,0,0,0,0,,S LINCOLN,ST,,,,S LINCOLN,E GRIMES,,,,Y,,,,39.153424,-86.531152,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,EGRIMESLNSLINCOLNST,0,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,173047,MONROE,BLOOMINGTON,BLOOMINGTON,12/10/17,4:30 PM,1,0,1,0,0,,JORDAN,AVE,,,,JORDAN,3RD,,,,Y,,,,39.16426,-86.51653,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,LEFT TURN,3RDSTJORDANAVE,1,TRAFFIC CONTROL SIGNAL
MONROE SD,M17A30766,MONROE,PERRY,BLOOMINGTON,12/23/17,10:53 PM,1,0,1,0,0,,SOUTH SMITH,RD,,,,SOUTH SMITH,EAST ROGERS,,,,N,OTHER,500,N,39.13584,-86.480496,COUNTY ROAD,,N,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,$5001 TO $10000,SAME DIRECTION SIDESWIPE,EASTROGERSRDSOUTHSMITHRD,1,NONE
BLOOMINGTON PD,B1801166,MONROE,PERRY,BLOOMINGTON,1/9/18,7:01 PM,1,0,0,0,0,,SARE,RD,,,,SARE,WINSTON,,,,Y,,,,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,SARERDWINSTONST,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,180150,MONROE,BLOOMINGTON,BLOOMINGTON,1/16/18,11:40 AM,1,0,0,0,0,,INDIANA,AVE,,,,INDIANA,KIRKWOOD,,,,Y,,,,39.16664,-86.526896,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,INDIANAAVEKIRKWOODAVE,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,180369,MONROE,BLOOMINGTON,BLOOMINGTON,2/5/18,1:15 PM,1,0,1,0,0,,7TH,ST,,,,7TH,FORREST,,,,Y,,,,39.168495,-86.52232,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,7THSTFORRESTAVE,1,STOP SIGN
BLOOMINGTON PD,B1807077,MONROE,PERRY,BLOOMINGTON,2/21/18,12:15 PM,1,0,1,0,0,,S COLLEGE MALL,RD,,,,S COLLEGE MALL,PRIVATE LOT EASTLAND PLAZA,,,,Y,,,,0,0,LOCAL/CITY ROAD,Y,N,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,UNDER $1001,LEFT/RIGHT TURN,PRIVATELOTEASTLANDPLAZASCOLLEGEMALLRD,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B1823475,MONROE,BLOOMINGTON,BLOOMINGTON,6/12/18,12:27 PM,1,0,1,0,0,,WALNUT,ST,,,,WALNUT,1 ST,,,,Y,,,,39.643035,-86.85849,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,COLLISION WITH ANIMAL OTHER,1STSTWALNUTST,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,182152,MONROE,BLOOMINGTON,BLOOMINGTON,9/21/18,11:13 AM,1,0,1,0,0,,INDIANA,AVE,,,,INDIANA,SEVENTH,,,,Y,,,,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT TURN,INDIANAAVESEVENTHST,1,STOP SIGN
BLOOMINGTON PD,B1843113,MONROE,BLOOMINGTON,BLOOMINGTON,10/19/18,4:09 PM,1,0,1,0,0,,HENDERSON,ST,,,,HENDERSON,MILLER,,,,Y,,,,39.14691,-86.52693,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT TURN,HENDERSONSTMILLERDR,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,182989,MONROE,BLOOMINGTON,BLOOMINGTON,12/5/18,12:03 PM,1,0,1,0,0,,WOODLAWN,AVE,,,,WOODLAWN,8TH,,,,Y,,,,39.169552,-86.52344,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,E8THSTWOODLAWNAVE,1,STOP SIGN
BLOOMINGTON PD,B1917703,MONROE,BLOOMINGTON,BLOOMINGTON,5/1/19,4:49 PM,1,0,1,0,0,,ROGERS,ST,,,,S ROGERS,COOLIDGE,,,,Y,,,,39.14125,-86.53883,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,SROGERSSTWCOOLIDGEDR,1,STOP SIGN
BLOOMINGTON PD,B1919620,MONROE,BLOOMINGTON,BLOOMINGTON,5/14/19,2:20 PM,1,0,1,0,0,,S WASHINGTON,ST,,,,S WASHINGTON,E 3RD,,,,Y,,,,39.16464,-86.5324,LOCAL/CITY ROAD,N,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,OTHER - EXPLAIN IN NARRATIVE,E3RDSTSWASHINGTONST,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,192422,MONROE,BLOOMINGTON,BLOOMINGTON,10/21/19,8:43 AM,1,0,1,0,0,,10TH,ST,,,,10TH,SUNRISE,,,,Y,,300,E,0,0,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$5001 TO $10000,RIGHT ANGLE,10THSTSUNRISEAVE,1,NONE
BLOOMINGTON PD,B1946926,MONROE,BLOOMINGTON,BLOOMINGTON,11/6/19,6:00 PM,1,0,1,0,0,,S KIMBLE,DR,,,,S KIMBLE,W 3RD,,,,Y,,200,E,39.16464,-86.568,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,SKIMBLEDRW3RDST,1,NONE
BLOOMINGTON PD,B1948086,MONROE,BLOOMINGTON,BLOOMINGTON,11/15/19,5:12 PM,1,0,1,0,0,219,S WALNUT,ST,,,,S WALNUT,,,,,Y,,,,39.16546286,-86.5336,LOCAL/CITY ROAD,,N,N,URBAN,N,N,Y,LANE CLOSURE,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SWALNUTST,1,NONE
INDIANA UNIV BLOOMINGTON PD,192719,MONROE,BLOOMINGTON,BLOOMINGTON,11/15/19,3:31 PM,1,0,0,0,0,125,S JORDAN,AVE,,,,S JORDAN,,,,,Y,,,,39.16604667,-86.51466667,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,SJORDANAVE,1,NONE
BLOOMINGTON PD,B1949526,MONROE,PERRY,BLOOMINGTON,11/25/19,6:00 PM,1,0,0,0,0,,SOUTH WALNUT,ST,,,,SOUTH WALNUT,EAST RHORER,,,,Y,,,,39.12144,-86.526496,,Y,N,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT TURN,EASTRHORERRDSOUTHWALNUTST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B2005242,MONROE,PERRY,BLOOMINGTON,1/28/20,10:30 PM,1,0,0,0,0,301,W PATTERSON,DR,,,,W PATTERSON,,,,,Y,,,,39.115248,-86.573504,OTHER,,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,WPATTERSONDR,1,NONE
