Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
INDIANA UNIV BLOOMINGTON PD,221784,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N EAGLESON AVE,,,,,N EAGLESON AVE,E 10TH ST,,,,Y,,0.0,,39.178955339839945,-86.53101125188583,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LN MOVEMENT,$5001 TO $10000,LEFT TURN,NEAGLESON AVEAVEE 10THST,0,,2022-05-06 17:55:00,,,
BLOOMINGTON PD,B22-12518,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,346 S GRANT ST,,,,,S GRANT ST,,,,,Y,,0.0,,39.23902086406269,-86.63592563022817,PRIVATE DR,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$1001 TO $2500,BACKING CRASH,346SGRANTST,0,,2022-04-09 17:00:00,346.0,,
BLOOMINGTON PD,B22-04842,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,W DIXIE ST,,,,,W DIXIE ST,S FAIRVIEW ST,,,,N,,0.0,,39.1867681923542,-86.54668750411463,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,SNOW,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,REAR END,WDIXIESTSFAIRVIEWST,0,,2022-02-12 11:00:00,,,
BLOOMINGTON PD,B22-23765,MONROE,PERRY,BLOOMINGTON,3,,0,0,0,,E RHORER RD,,,,,E RHORER RD,S SARE RD,,,,Y,,0.0,,39.245710623706614,-86.63673763626338,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SSARERDERHORERRD,0,,2022-06-24 16:36:00,,,
MONROE SD,M22A22082,MONROE,PERRY,BLOOMINGTON,1,,1,0,0,,S HENDERSON ST,,,,,S HENDERSON ST,E ALLEN ST,,,,Y,,0.0,,39.16138,-86.53363,LOCAL/CITY RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,SAME DIRECTION SIDESWIPE,SHENDERSONSTEALLENST,1,,2022-09-08 12:28:00,,True,
BLOOMINGTON PD,B22-37312,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,W COUNTRY CLUB DR,,,,,W COUNTRY CLUB DR,S ROCKPORT RD,,,,Y,,158.0,,39.14695087761447,-86.53889852533972,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,WCOUNTRYCLUBDRSROCKPORTRD,0,,2022-09-15 16:50:00,,,
INDIANA UNIV BLOOMINGTON PD,220841,MONROE,BLOOMINGTON,BLOOMINGTON,3,,1,0,0,,ST RD 45,,,,,ST RD 45,DISCOVERY PWKY,,,,Y,,326.0,,39.17164,-86.5235,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,STATERD45DISCOVERYPWKY,0,,2022-03-04 10:10:00,,,
INDIANA UNIV BLOOMINGTON PD,223673,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S HAWTHORNE DR,,,,Y,,211.0,,39.16463044204526,-86.56796143907364,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LN MOVEMENT,$5001 TO $10000,SAME DIRECTION SIDESWIPE,SHAWTHORNEDRE 3RDST,0,,2022-09-30 13:25:00,,,
BLOOMINGTON PD,B22-23114,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,S LIBERTY DR,,,,,S LIBERTY DR,W 3RD ST,,,,Y,,0.0,,39.18638200363672,-86.53771476364028,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,LEFT TURN,W 3RDSTSLIBERTYDR,0,,2022-06-20 16:20:00,,,
MONROE SD,M22A5921,MONROE,RICHLAND,BLOOMINGTON,2,,1,0,0,,CENTENNIAL DR,,,,,CENTENNIAL DR,W ST RD 46,,,,N,,0.0,,39.136344716851944,-86.56079825581892,ST RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,WSTATERD46CENTENNIALDR,0,,2022-03-15 07:43:00,,,
MONROE SD,M22A20141,MONROE,VAN BUREN,,2,,0,0,0,1285,S LIBERTY DR ,,,,,S LIBERTY DR ,,,,,N,,0.0,,39.150508168228306,-86.42640374915233,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,$10001 TO $25000,RIGHT ANGLE,SLIBERTYDRBLOOMINGTONIN,0,,2022-08-17 12:49:00,,,
BLOOMINGTON PD,B22-11736,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,E ASTGATE LN,,,,Y,,0.0,,39.26116893,-86.51415266,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,STATERD46EEASTGATELN,0,,2022-04-05 16:07:00,,,
BLOOMINGTON PD,B22-14705,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E ATWATER,,,,,E ATWATER,S EAGLESON,,,,Y,,0.0,,39.15517,-86.49773,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,SOUTHEAGLESONEASTATWATER,0,,2022-04-24 02:41:00,,,
MONROE SD,M22A10626,MONROE,INDIAN CREEK,BLOOMINGTON,1,,0,0,1,,I-69,,,,,I-69,,,111.1,,N,,739.0,,39.17894378110442,-86.53348065953462,ST RD,,,,RURAL,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$2501 TO $5000,COLLISION WITH DEER,I-69111.1,0,,2022-05-09 20:34:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,I-69,,,,,I-69,,,118.0,,Y,,0.0,,39.12788269970538,-86.44356302937507,INTERSTATE,,,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LN MOVEMENT,$5001 TO $10000,REAR END,I-69118,0,,2022-04-06 11:34:00,,,
BLOOMINGTON PD,B22-06454,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,ST RD 46,,,,,ST RD 46,E 3RD ST,,,,Y,,0.0,,39.1645971824183,-86.5803467808341,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,STATERD46E 3RDST,0,,2022-02-26 03:18:00,,,
BLOOMINGTON PD,B22-10765,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,N INDIANA AVE,,,,,N INDIANA AVE,E 8TH ST,,,,Y,,0.0,,39.12781979154004,-86.52849709206454,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LN,$5001 TO $10000,SAME DIRECTION SIDESWIPE,NINDIANAAVEE8THST,0,,2022-03-29 23:03:00,,,
MONROE SD,M22A21414,MONROE,PERRY,BLOOMINGTON,1,,0,0,0,,S ST RD 37,,,,,S ST RD 37,S ROGERS ST,,,,Y,,0.0,,39.1798563438127,-86.55353556705455,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,Y-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,LEFT TURN,SROGERSSTSOLDSTATERD37,0,,2022-08-31 17:48:00,,,
BLOOMINGTON PD,B22-34507,MONROE,PERRY,BLOOMINGTON,1,,0,0,0,,E HILLSIDE DR,,,,,E HILLSIDE DR,S WALNUT ST,,,,Y,,0.0,,39.16091201826014,-86.49773229952943,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,SWALNUTSTEHILLSIDEDR,1,,2022-08-30 05:38:00,,True,
INDIANA UNIV BLOOMINGTON PD,222189,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,ST RD 45,,,,Y,,0.0,,39.19366600727952,-86.57143216900869,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,STATERD45E 10THST,0,,2022-06-21 09:55:00,,,
BLOOMINGTON PD,B22-05452,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,500,S LIBERTY DR,,,,,S LIBERTY DR,,,,,Y,,0.0,,39.20995309036214,-86.58274927414891,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SLIBERTYDR,0,,2022-02-18 15:37:00,,,
ELLETTSVILLE PD,E221300,MONROE,RICHLAND,ELLETTSVILLE,2,0.0,1,0,0,,W TEMPERANCE,ST,,,,W TEMPERANCE,SALE,,,,Y,,,,39.16615182416042,-86.58071776533903,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,$5001 TO $10000,SAME DIRECTION SIDESWIPE,SALESTWTEMPERANCEST,0,TRAFFIC CONTROL SIGNAL,2022-04-10 19:28:00,,,
BLOOMINGTON PD,B22-21727,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,1359,S FENBROOK LN,,,,,S FENBROOK LN,,,,,Y,,0.0,,39.24637560105737,-86.53244831138716,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SFENBROOKLN,0,,2022-06-08 14:30:00,,,
MONROE SD,M22A3874,MONROE,RICHLAND,ELLETTSVILLE,2,,0,0,0,,W MAPLE GROVE RD,,,,,W MAPLE GROVE RD,N MATHEWS DR,,,,N,,0.0,,39.33528675407755,-86.51150481837844,,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,ICE,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$10001 TO $25000,RIGHT ANGLE,WMAPLEGROVERDNMATHEWSDR,0,,2022-02-18 09:15:00,,,
MONROE SD,M22A3148,MONROE,VAN BUREN,BLOOMINGTON,1,,0,0,0,,S CURRY PK,,,,,S CURRY PK,,,,,N,,0.0,,39.178994884365515,-86.52706744484647,COUNTY RD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,RAN OFF RD,SCURRYPK,0,,2022-02-09 10:03:00,,,
MONROE SD,M22A5951,MONROE,PERRY,BLOOMINGTON,2,,1,0,0,,S ST RD 37,,,,,S ST RD 37,S ORCHARD LN,,,,N,,1500.0,,39.02825919187756,-86.54192998946591,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,SORCHARDLNSOLDST RD 37,0,,2022-03-15 14:12:00,,,
MONROE SD,M22A13094,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,W ST RD 45,,,,,W ST RD 45,,,,,N,,0.0,,39.1715680867133,-86.51567405881207,PRIVATE DR,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LN,$1001 TO $2500,BACKING CRASH,WSTATERD45,0,,2022-06-04 19:04:00,,,
BLOOMINGTON PD,B22-19109,MONROE,PERRY,BLOOMINGTON,1,,1,0,0,,E MILLER DR,,,,,E MILLER DR,,,,,Y,,0.0,,39.16500631877233,-86.5302185112208,,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE BACKING,UNDER $1001,BACKING CRASH,EMILLERDR,1,,2022-05-24 13:50:00,,,True
BLOOMINGTON PD,B22-043117,MONROE,,BLOOMINGTON,2,,1,0,0,,N KINSER PK,,,,,N KINSER PK,W 17TH ST,,,,Y,,0.0,,39.156524152576054,-86.54108337340494,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$2501 TO $5000,REAR END,W17THSTNKINSERPK,0,,2022-02-08 14:58:00,,,
INDIANA UNIV BLOOMINGTON PD,221671,MONROE,BLOOMINGTON,BLOOMINGTON,1,,0,0,1,,ST RD 45,,,,,ST RD 45,E 17TH ST,,,,Y,,845.0,,39.12143279960049,-86.51158061732563,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,$2501 TO $5000,COLLISION WITH DEER,STATERD45E17THST,0,,2022-04-28 18:15:00,,,
BLOOMINGTON PD,B22-20089,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S COLLEGE MALL RD,,,,,S COLLEGE MALL RD,E 2ND ST,,,,Y,,0.0,,39.15552615055423,-86.52703731981983,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,UNSAFE LN MOVEMENT,$10001 TO $25000,SAME DIRECTION SIDESWIPE,S.COLLEGEMALLRDE 2NDST,0,,2022-05-31 14:29:00,,,
BLOOMINGTON PD,B22-02771,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E 2ND ST,,,,,E 2ND ST,S COLLEGE MALL RD,,,,Y,,0.0,,39.136337906676474,-86.54876166621332,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$5001 TO $10000,RIGHT ANGLE,SCOLLEGEMALLRDE 2NDST,0,,2022-01-25 08:29:00,,,
ISP BLOOMINGTON 33,2.022E+11,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N ST RD 37,,,,,N ST RD 37,E BETHEL LN,,,,N,,0.0,,39.17149,-86.49537,COUNTY RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,NOLDSTATERD37EBETHELLN,0,,2022-04-27 07:00:00,,,
BLOOMINGTON PD,B22-27910,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S WALNUT ST,,,,,S WALNUT ST,W DODDS ST,,,,Y,,0.0,,39.16425,-86.52008,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,INTERCHANGE,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,SAME DIRECTION SIDESWIPE,WDODDSSTSWALNUTST,0,,2022-07-20 23:56:00,,,
BLOOMINGTON PD,B22-28161,MONROE,,BLOOMINGTON,2,,1,0,0,,E CREEKS EDGE DR,,,,,E CREEKS EDGE DR,S SARE RD,,,,Y,,0.0,,39.164589485309826,-86.57914751138865,LOCAL/CITY RD,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO MAINTAIN LN,$2501 TO $5000,HEAD ON BETWEEN TWO MOTOR VEHICLES,SSARERDECREEKSEDGEDR,0,,2022-07-22 16:08:00,,,
BLOOMINGTON PD,B22-12096,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N DUNN ST,,,,,N DUNN ST,E 7TH ST,,,,Y,,0.0,,39.20994207430513,-86.58274089852891,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$10001 TO $25000,RIGHT ANGLE,NDUNNSTE7THST,0,,2022-04-07 22:30:00,,,
INDIANA UNIV BLOOMINGTON PD,220538,MONROE,BLOOMINGTON,BLOOMINGTON,3,,0,0,0,,ST RD 45,,,,,ST RD 45,N DUNN ST,,,,Y,,0.0,,39.1588710998729,-86.57516954367927,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,$10001 TO $25000,REAR END,STATERD45NDUNNST,0,,2022-02-11 16:35:00,,,
BLOOMINGTON PD,B22-20885,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,N KINSER PK,,,,,N KINSER PK,ST RD 46,,,,Y,,0.0,,39.17013402942487,-86.50137356515435,ST RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,UNDER $1001,REAR END,STATERD46NKINSERPK,0,,2022-06-05 11:43:00,,,
MONROE SD,M22A9858,MONROE,WASHINGTON,BLOOMINGTON,2,,0,0,0,,I-69 S 129.5,,,,,I-69 S 129.5,,,,,N,,739.0,,39.16305570150856,-86.51642227252087,INTERSTATE,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,UNSAFE LN MOVEMENT,$5001 TO $10000,SAME DIRECTION SIDESWIPE,I-69SOUTHBOUND129.5,0,,2022-04-30 21:22:00,,,
BLOOMINGTON PD,B22-06968,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,S HENDERSON ST,,,,,S HENDERSON ST,E HILLSIDE DR,,,,Y,,0.0,,39.07567595665554,-86.59030356811927,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,SHENDERSONSTEHILLSIDEDR,0,,2022-03-02 15:21:00,,,
ELLETTSVILLE PD,E2200780,MONROE,RICHLAND,ELLETTSVILLE,2,0.0,0,0,0,4645,RICHLAND PLAZA,DR,,,,RICHLAND PLAZA,,,,,,,,,39.16807510214732,-86.57241773804516,OTHER,,N,Y,,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OVERCORRECTING/OVERSTEERING,$5001 TO $10000,SAME DIRECTION SIDESWIPE,RICHLANDPLAZADR,0,NONE,2022-03-02 19:48:00,,,
INDIANA UNIV BLOOMINGTON PD,220629,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,2620,E 10TH ST,,,,,E 10TH ST,,,,,Y,,0.0,,39.164309349357104,-86.47210597267504,OTHER,,,,URBAN,N,N,N,,DARK (LIGHTED),SLEET/HAIL/FREEZING RAIN,SNOW/SLUSH,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,LEFT TURN,E 10THST,0,,2022-02-17 20:00:00,,,
INDIANA UNIV BLOOMINGTON PD,222393,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 10TH ST,,,,,E 10TH ST,N UNION ST,,,,Y,,0.0,,39.16949,-86.52695,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,REAR END,NUNIONSTE 10THST,0,,2022-07-14 11:45:00,,,
MONROE SD,M22A15734,MONROE,VAN BUREN,BLOOMINGTON,2,,0,0,0,,W ST RD 45,,,,,W ST RD 45,,,,,N,,0.0,,39.1665077387271,-86.53865252792976,PRIVATE DR,,,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,RIGHT ANGLE,WSTATERD45,0,,2022-07-01 19:42:00,,,
BLOOMINGTON PD,B22-27137,MONROE,VAN BUREN,BLOOMINGTON,2,,3,0,0,,S LEONARD SPRINGS RD,,,,,S LEONARD SPRINGS RD,ST RD 45,,,,Y,,0.0,,39.15047806547702,-86.53367125967014,ST RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,STATERD45SLEONARDSPRINGSRD,0,,2022-07-15 21:20:00,,,
BLOOMINGTON PD,B22-04761,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S WALNUT ST,,,,Y,,0.0,,39.1715788147968,-86.50215988045348,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,SAME DIRECTION SIDESWIPE,SWALNUTSTE 3RDST,0,,2022-02-11 05:06:00,,,
BLOOMINGTON PD,B22-39400,MONROE,PERRY,BLOOMINGTON,2,,0,0,0,,E SMITH AVE,,,,,E SMITH AVE,S WALNUT ST,,,,Y,,0.0,,39.1630311291429,-86.57975946979853,LOCAL/CITY RD,,,,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER LN USAGE,$1001 TO $2500,SAME DIRECTION SIDESWIPE,SWALNUTSTESMITHAVE,0,,2022-09-27 20:35:00,,,
MONROE SD,M22A3380,MONROE,VAN BUREN,BLOOMINGTON,1,,0,0,0,,W 3RD ST,,,,,W 3RD ST,N OARD,,,,N,,400.0,,39.23371918185434,-86.62471806796256,ST RD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,DRY,,NO JUNCTION INVOLVED,,ASPHALT,LEFT OF CENTER,$1001 TO $2500,RAN OFF RD,W 3RDSTNOARDRD,0,,2022-02-12 19:06:00,,,
BLOOMINGTON PD,B22-26589,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,N WALNUT ST,,,,,N WALNUT ST,W KIRKWOOD AVE,,,,Y,,0.0,,39.15115166726982,-86.48711328219495,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,UNDER $1001,NON-COLLISION,WKIRKWOODAVENWALNUTST,0,,2022-07-12 15:44:00,,,
INDIANA UNIV BLOOMINGTON PD,221654,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,E 17TH ST,,,,,E 17TH ST,,,,,Y,,0.0,,39.24529871485494,-86.62057627902672,LOCAL/CITY RD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FOLLOWING TOO CLOSELY,$5001 TO $10000,REAR END,E17THST,0,,2022-04-27 15:30:00,,,
INDIANA UNIV BLOOMINGTON PD,223124,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,,DISCOVERY PARKWAY,,,,,DISCOVERY PARKWAY,ST RD 45/46 BYPASS,,,,Y,,0.0,,39.16266431569651,-86.58274954644817,ST RD,,,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$5001 TO $10000,LEFT TURN,STATERD45/46BYPASSDISCOVERYPARKWAY,0,,2022-09-07 06:20:00,,,
INDIANA UNIV BLOOMINGTON PD,223310,MONROE,BLOOMINGTON,BLOOMINGTON,2,,1,0,0,,E 17TH ST,,,,,E 17TH ST,ST RD 45,,,,Y,,0.0,,39.11713785085859,-86.53336116512801,ST RD,,,,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,T-INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$25001 TO $50000,LEFT TURN,STATERD45E17THST,0,,2022-09-14 18:30:00,,,
BLOOMINGTON PD,B22-26473,MONROE,BLOOMINGTON,BLOOMINGTON,2,,0,0,0,2966,E 3RD ST,,,,,E 3RD ST,,,,,N,,0.0,,39.142138826988,-86.58003099920143,PRIVATE DR,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,IMPROPER TURNING,$1001 TO $2500,RIGHT TURN,E 3RDST,0,,2022-07-11 07:50:00,,,
BLOOMINGTON PD,B22-27671,MONROE,,BLOOMINGTON,2,,0,0,0,,307 E 3RD ST; LUCKY EXPRESS,,,,,E 3RD ST,,,,,Y,,0.0,,39.14745828017766,-86.53053849531697,PRIVATE DR,,,,URBAN,N,N,Y,LN CLOSURE,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,CONCRETE,UNSAFE BACKING,$1001 TO $2500,BACKING CRASH,307E 3RDST;LUCKYEXPRESS,0,,2022-07-19 15:45:00,307.0,,
